Zipcode,Neighborhood_Score,Rental_Price,Year,Month,City
60653,84.8863722113204,1865.45743051307,2019,3,Chicago
60654,54.753560494441,2069.94605322425,2019,3,Chicago
60655,47.4433254281672,1768.99656195454,2019,3,Chicago
60656,10.9209402548943,1992.23513619853,2019,3,Chicago
60657,74.9331997927178,3279.28314044437,2019,3,Chicago
60659,65.9948678710399,2055.48008097984,2019,3,Chicago
60660,48.0699140669159,2270.12838060077,2019,3,Chicago
60661,21.8342443726604,1896.56170970503,2019,3,Chicago
60707,26.6507128330201,,2019,3,Chicago
60712,0.841121197562057,,2019,3,Chicago
60714,0.0704316589589556,,2019,3,Chicago
60803,0.00476850832565124,,2019,3,Chicago
60804,2.00621560648652,,2019,3,Chicago
60805,3.00768248384384,,2019,3,Chicago
60827,50.8224119771557,,2019,3,Chicago
65692,0.148005476172849,,2019,3,Chicago
